CustomerID,Recency,Frequency,Monetary
CUST1,264,4,739.09
CUST2,18,13,400.03
CUST3,96,11,441.61
CUST4,260,3,474.79
CUST5,295,1,1208.48
CUST6,178,6,817.96
CUST7,346,18,480.74
CUST8,264,10,923.29
CUST9,245,5,1079.9
CUST10,152,10,423.48
CUST11,36,12,632.05
CUST12,279,2,200.39
CUST13,267,13,288.1
CUST14,7,8,1028.05
CUST15,215,2,288.53
CUST16,236,1,797.24
CUST17,217,5,1069.39
CUST18,58,9,178.18
CUST19,109,17,859.62
CUST20,23,9,399.71
CUST21,73,11,1445.13
CUST22,175,15,735.65
CUST23,90,6,1212.87
CUST24,206,3,834.34
CUST25,53,17,84.25
CUST26,345,5,957.06
CUST27,114,12,1428.08
CUST28,131,18,910.39
CUST29,22,14,1232.4
CUST30,318,11,1328.63
CUST31,308,9,357.56
CUST32,197,2,333.83
CUST33,179,12,924.25
CUST34,96,3,628.32
CUST35,177,3,1262.99
CUST36,192,1,1352.03
CUST37,316,8,543.06
CUST38,3,8,370.57
CUST39,312,11,1175.18
CUST40,123,9,426.71
CUST41,47,5,1237.47
CUST42,236,14,647.13
CUST43,60,3,1007.97
CUST44,232,5,161.39
CUST45,346,5,943.31
CUST46,38,19,688.62
CUST47,200,14,888.18
CUST48,93,4,268.66
CUST49,278,13,1110.57
CUST50,51,10,1296.94
CUST51,353,18,340.77
CUST52,125,8,161.66
CUST53,102,8,54.99
CUST54,21,7,970.12
CUST55,314,8,918.5
CUST56,27,14,829.11
CUST57,275,19,363.28
CUST58,103,6,598.54
CUST59,332,1,899.82
CUST60,161,15,755.21
CUST61,286,1,1481.92
CUST62,317,17,221.93
CUST63,7,1,1048.81
CUST64,365,15,618.39
CUST65,313,2,653.74
CUST66,261,14,1082.04
CUST67,107,8,1044.81
CUST68,57,8,1487.06
CUST69,176,19,210.02
CUST70,149,7,174.08
CUST71,323,19,1092.02
CUST72,205,6,876.01
CUST73,165,6,425.76
CUST74,97,3,137.54
CUST75,16,7,146.77
CUST76,63,19,1343.4
CUST77,96,8,303.96
CUST78,152,10,498.59
CUST79,115,15,355.45
CUST80,177,15,545.39
CUST81,71,1,122.75
CUST82,154,7,788.21
CUST83,159,4,120.07
CUST84,130,6,1204.53
CUST85,29,1,365.89
CUST86,314,5,819.22
CUST87,87,1,1322.52
CUST88,150,4,983.3
CUST89,115,2,808.78
CUST90,179,10,500.01
CUST91,326,5,512.84
CUST92,210,10,1010.84
CUST93,352,1,1491.33
CUST94,66,6,999.52
CUST95,302,13,845.52
CUST96,22,15,1101.36
CUST97,40,4,708.5
CUST98,358,13,109.01
CUST99,23,15,852.2
CUST100,238,8,1437.29
CUST101,231,5,279.45
CUST102,304,15,1041.21
CUST103,228,4,317.38
CUST104,286,12,813.02
CUST105,204,13,163.08
CUST106,78,2,686.55
CUST107,106,19,1139.12
CUST108,136,19,534.41
CUST109,326,4,1004.07
CUST110,339,4,1197.27
CUST111,232,11,1392.22
CUST112,166,5,367.27
CUST113,39,11,610.99
CUST114,99,10,245.58
CUST115,334,8,1488.88
CUST116,319,6,1391.96
CUST117,305,6,819.14
CUST118,151,8,1266.21
CUST119,74,15,791.02
CUST120,268,14,942.91
CUST121,195,11,151.9
CUST122,7,12,1137.8
CUST123,153,13,209.02
CUST124,332,8,1242.58
CUST125,140,18,1177.4
CUST126,266,1,1068.94
CUST127,236,15,73.52
CUST128,110,8,468.63
CUST129,362,11,409.41
CUST130,149,12,553.0
CUST131,112,12,149.71
CUST132,8,4,1406.7
CUST133,84,16,839.63
CUST134,160,4,472.18
CUST135,352,5,607.53
CUST136,21,5,681.86
CUST137,325,8,908.88
CUST138,188,10,783.21
CUST139,304,17,1380.7
CUST140,15,9,755.51
CUST141,136,19,1488.39
CUST142,126,14,1280.11
CUST143,315,8,328.6
CUST144,271,9,1397.28
CUST145,145,11,192.22
CUST146,136,1,1229.83
CUST147,130,14,583.32
CUST148,224,5,1319.4
CUST149,196,14,1304.72
CUST150,338,4,1212.77
CUST151,331,1,1189.25
CUST152,354,19,470.93
CUST153,207,8,139.76
CUST154,40,15,616.41
CUST155,180,15,276.82
CUST156,124,9,1048.53
CUST157,281,9,532.23
CUST158,83,10,1463.9
CUST159,301,9,968.64
CUST160,197,3,1237.27
CUST161,322,11,216.14
CUST162,305,6,1295.78
CUST163,233,2,1385.68
CUST164,83,7,740.85
CUST165,339,18,917.25
CUST166,259,2,1151.92
CUST167,323,17,278.76
CUST168,27,11,763.8
CUST169,81,12,610.02
CUST170,36,19,236.63
CUST171,239,7,563.95
CUST172,19,6,120.9
CUST173,136,1,58.2
CUST174,177,17,220.05
CUST175,142,11,1445.41
CUST176,84,18,833.3
CUST177,246,17,1449.42
CUST178,251,7,660.1
CUST179,134,17,481.49
CUST180,108,9,769.09
CUST181,8,17,670.48
CUST182,169,8,176.38
CUST183,230,17,968.42
CUST184,49,7,339.74
CUST185,202,1,936.99
CUST186,142,13,982.3
CUST187,60,19,245.0
CUST188,133,19,110.8
CUST189,195,17,1175.53
CUST190,215,13,700.5
CUST191,52,16,106.08
CUST192,207,8,1492.4
CUST193,271,19,105.52
CUST194,134,18,1048.65
CUST195,187,1,1475.84
CUST196,254,14,373.99
CUST197,49,19,230.53
CUST198,315,15,199.65
CUST199,99,18,468.85
CUST200,72,2,169.55
CUST201,254,17,1044.4
CUST202,266,18,112.19
CUST203,254,6,773.94
CUST204,286,19,1495.11
CUST205,180,4,1224.68
CUST206,254,1,930.52
CUST207,365,8,473.26
CUST208,237,7,943.37
CUST209,147,3,800.02
CUST210,313,10,650.6
CUST211,24,10,213.45
CUST212,143,19,1332.17
CUST213,142,14,685.68
CUST214,241,2,308.04
CUST215,237,1,564.28
CUST216,314,18,632.91
CUST217,195,7,1244.76
CUST218,149,8,1105.75
CUST219,207,1,1158.57
CUST220,169,3,36.33
CUST221,120,8,635.91
CUST222,43,15,732.39
CUST223,164,5,48.4
CUST224,183,3,404.52
CUST225,244,19,1145.23
CUST226,112,1,222.92
CUST227,73,15,812.26
CUST228,87,8,338.5
CUST229,42,2,37.94
CUST230,269,3,376.98
CUST231,169,14,1464.29
CUST232,127,14,1206.27
CUST233,223,11,1440.17
CUST234,270,16,742.02
CUST235,166,4,182.41
CUST236,243,5,830.98
CUST237,180,14,692.48
CUST238,41,16,1269.65
CUST239,18,18,165.16
CUST240,108,7,742.6
CUST241,219,10,242.07
CUST242,115,7,500.52
CUST243,21,1,1111.29
CUST244,220,19,724.51
CUST245,219,16,576.31
CUST246,15,19,603.82
CUST247,168,4,699.98
CUST248,59,18,1181.82
CUST249,239,2,1340.29
CUST250,328,1,1433.9
CUST251,29,15,1184.62
CUST252,7,5,486.8
CUST253,238,11,1038.44
CUST254,100,10,667.65
CUST255,216,2,396.91
CUST256,69,3,1264.49
CUST257,268,12,76.87
CUST258,104,5,1354.61
CUST259,115,5,702.99
CUST260,223,6,963.06
CUST261,21,9,995.84
CUST262,255,2,1344.77
CUST263,307,12,962.27
CUST264,365,3,928.62
CUST265,63,12,118.65
CUST266,113,17,787.24
CUST267,227,10,242.25
CUST268,330,14,1111.4
CUST269,207,17,778.09
CUST270,358,18,1026.74
CUST271,134,19,81.68
CUST272,268,17,145.49
CUST273,220,14,1080.16
CUST274,63,9,126.68
CUST275,159,8,125.46
CUST276,236,2,37.92
CUST277,215,13,1435.62
CUST278,313,7,1111.51
CUST279,247,9,542.81
CUST280,206,11,458.87
CUST281,251,14,537.56
CUST282,292,4,1166.49
CUST283,254,13,998.83
CUST284,263,2,294.09
CUST285,27,5,277.68
CUST286,113,11,165.63
CUST287,140,6,997.25
CUST288,255,18,1151.27
CUST289,268,10,412.27
CUST290,214,4,51.0
CUST291,18,9,141.61
CUST292,1,6,1452.43
CUST293,29,2,457.26
CUST294,173,17,1158.45
CUST295,57,5,944.5
CUST296,204,6,585.27
CUST297,159,12,324.42
CUST298,198,10,199.65
CUST299,206,6,930.22
CUST300,299,8,1166.46
CUST301,78,2,972.98
CUST302,90,12,804.85
CUST303,63,13,82.09
CUST304,232,7,1453.36
CUST305,172,10,1202.1
CUST306,239,13,453.38
CUST307,334,17,1470.36
CUST308,191,14,910.78
CUST309,345,2,881.99
CUST310,129,11,1127.15
CUST311,209,1,1221.42
CUST312,329,19,991.59
CUST313,137,4,209.58
CUST314,2,19,520.64
CUST315,316,11,1393.56
CUST316,103,8,352.43
CUST317,84,11,570.81
CUST318,340,4,659.47
CUST319,141,17,670.32
CUST320,90,7,927.15
CUST321,81,8,1415.75
CUST322,270,3,376.23
CUST323,83,2,199.82
CUST324,50,15,312.26
CUST325,63,5,1332.65
CUST326,220,1,975.8
CUST327,363,4,443.14
CUST328,332,15,1227.6
CUST329,175,19,1294.83
CUST330,318,3,1272.84
CUST331,350,11,1380.01
CUST332,195,17,393.32
CUST333,147,13,1137.46
CUST334,209,11,701.6
CUST335,321,2,1266.16
CUST336,361,9,1098.17
CUST337,268,2,1169.14
CUST338,134,9,991.12
CUST339,330,9,282.59
CUST340,87,8,826.64
CUST341,18,17,1477.31
CUST342,65,1,1407.33
CUST343,186,11,83.9
CUST344,272,8,263.93
CUST345,268,10,214.96
CUST346,179,7,1094.45
CUST347,251,3,1230.32
CUST348,176,3,336.0
CUST349,114,18,768.66
CUST350,206,5,1264.24
CUST351,111,12,1104.55
CUST352,44,12,822.51
CUST353,239,19,893.71
CUST354,349,6,772.37
CUST355,86,2,460.37
CUST356,144,12,856.23
CUST357,313,19,1039.55
CUST358,309,5,1312.52
CUST359,44,12,961.71
CUST360,7,17,1146.46
CUST361,193,17,256.91
CUST362,87,10,703.11
CUST363,253,17,33.81
CUST364,79,15,385.08
CUST365,25,12,1095.16
CUST366,216,16,1487.88
CUST367,240,19,166.78
CUST368,212,8,614.21
CUST369,94,17,1204.11
CUST370,263,5,321.97
CUST371,68,16,841.53
CUST372,121,6,1104.95
CUST373,191,8,931.66
CUST374,328,18,298.28
CUST375,197,12,545.97
CUST376,120,15,1180.01
CUST377,341,9,840.26
CUST378,12,13,27.74
CUST379,61,15,1146.27
CUST380,354,10,72.26
CUST381,51,16,1123.69
CUST382,54,7,319.67
CUST383,331,17,1437.95
CUST384,194,7,564.55
CUST385,347,14,503.86
CUST386,46,15,240.35
CUST387,103,7,472.29
CUST388,225,9,1317.44
CUST389,224,19,1494.57
CUST390,275,16,565.1
CUST391,13,8,683.94
CUST392,45,18,1088.66
CUST393,79,18,1331.57
CUST394,152,7,897.71
CUST395,25,3,599.46
CUST396,316,18,630.68
CUST397,214,10,1049.51
CUST398,181,7,24.76
CUST399,304,17,936.99
CUST400,177,14,546.13
CUST401,242,3,1195.41
CUST402,217,12,157.63
CUST403,53,13,890.54
CUST404,309,2,731.84
CUST405,25,3,970.64
CUST406,62,5,115.98
CUST407,187,11,878.38
CUST408,197,8,851.0
CUST409,41,12,849.78
CUST410,96,7,913.16
CUST411,313,15,1021.17
CUST412,266,17,1211.38
CUST413,103,4,419.33
CUST414,314,13,1241.07
CUST415,307,18,757.42
CUST416,259,1,134.05
CUST417,362,16,106.66
CUST418,264,13,514.67
CUST419,171,10,1181.65
CUST420,105,12,1067.37
CUST421,2,2,1187.15
CUST422,17,3,785.56
CUST423,320,10,671.49
CUST424,12,2,238.23
CUST425,56,13,505.73
CUST426,59,13,662.35
CUST427,223,18,151.13
CUST428,98,3,346.51
CUST429,243,7,905.37
CUST430,261,14,1108.78
CUST431,209,17,1497.55
CUST432,220,12,1401.01
CUST433,222,16,971.0
CUST434,247,12,643.45
CUST435,48,15,961.54
CUST436,92,10,1182.76
CUST437,275,7,195.14
CUST438,309,5,626.66
CUST439,21,1,1262.91
CUST440,138,17,588.07
CUST441,250,3,866.37
CUST442,49,13,889.9
CUST443,88,14,293.02
CUST444,240,18,556.11
CUST445,238,4,515.08
CUST446,309,18,58.77
CUST447,245,5,55.8
CUST448,366,16,1250.91
CUST449,128,1,424.14
CUST450,77,14,786.76
CUST451,271,15,462.11
CUST452,241,9,1412.21
CUST453,249,15,403.76
CUST454,319,17,655.89
CUST455,278,4,1311.64
CUST456,130,12,1266.06
CUST457,95,5,295.43
CUST458,178,5,1207.91
CUST459,175,11,698.12
CUST460,298,6,734.79
CUST461,89,7,217.55
CUST462,18,14,139.29
CUST463,120,11,1097.35
CUST464,291,13,754.76
CUST465,213,2,666.54
CUST466,223,7,1099.67
CUST467,281,4,1152.96
CUST468,182,8,255.18
CUST469,82,19,923.13
CUST470,147,13,220.32
CUST471,298,14,1132.04
CUST472,320,10,992.29
CUST473,273,11,1435.79
CUST474,129,2,122.06
CUST475,163,9,104.44
CUST476,149,17,437.64
CUST477,26,3,407.32
CUST478,328,6,385.53
CUST479,267,5,1361.26
CUST480,78,5,389.33
CUST481,113,15,422.49
CUST482,145,17,1143.91
CUST483,10,9,685.61
CUST484,344,3,1169.53
CUST485,117,17,116.74
CUST486,357,10,741.61
CUST487,121,3,69.75
CUST488,42,18,112.73
CUST489,267,18,1361.53
CUST490,77,17,226.08
CUST491,187,3,807.98
CUST492,144,3,628.42
CUST493,117,6,534.07
CUST494,220,13,1351.75
CUST495,271,15,52.3
CUST496,110,9,1002.41
CUST497,42,4,1445.82
CUST498,363,14,849.05
CUST499,351,5,1406.5
CUST500,87,2,97.34
CUST501,31,11,639.81
CUST502,120,9,405.03
CUST503,109,3,1101.62
CUST504,207,9,1472.32
CUST505,27,3,399.66
CUST506,215,2,988.18
CUST507,189,12,313.18
CUST508,204,10,856.69
CUST509,334,9,706.62
CUST510,188,15,1458.57
CUST511,266,8,920.62
CUST512,99,5,537.27
CUST513,44,11,188.86
CUST514,302,2,243.85
CUST515,199,15,353.47
CUST516,37,6,391.43
CUST517,324,8,1278.91
CUST518,323,5,850.61
CUST519,82,16,794.62
CUST520,355,18,189.86
CUST521,272,6,1293.01
CUST522,65,5,1089.77
CUST523,114,16,120.15
CUST524,125,13,1067.6
CUST525,332,5,824.44
CUST526,152,13,140.95
CUST527,30,17,698.28
CUST528,277,18,737.35
CUST529,103,8,265.35
CUST530,274,13,1419.63
CUST531,277,19,1277.96
CUST532,252,3,1010.15
CUST533,262,8,704.2
CUST534,171,2,629.41
CUST535,53,8,983.44
CUST536,253,13,827.24
CUST537,292,13,112.16
CUST538,150,1,778.5
CUST539,90,6,1213.48
CUST540,118,19,699.68
CUST541,203,16,96.9
CUST542,10,8,1183.69
CUST543,175,1,318.02
CUST544,140,16,402.76
CUST545,190,9,263.77
CUST546,268,13,508.72
CUST547,331,11,1139.99
CUST548,271,13,788.69
CUST549,215,10,323.22
CUST550,216,4,1319.19
CUST551,177,6,1321.78
CUST552,143,7,1308.46
CUST553,330,5,373.42
CUST554,99,11,687.83
CUST555,184,13,1477.78
CUST556,354,19,1162.58
CUST557,88,10,60.21
CUST558,150,10,116.5
CUST559,12,11,706.62
CUST560,6,7,1365.65
CUST561,81,18,817.28
CUST562,94,4,756.76
CUST563,305,2,176.1
CUST564,283,14,992.03
CUST565,150,13,1236.71
CUST566,25,12,583.02
CUST567,180,7,1167.91
CUST568,348,2,1447.43
CUST569,190,13,321.57
CUST570,267,14,794.53
CUST571,134,17,444.96
CUST572,291,9,1193.42
CUST573,102,17,874.84
CUST574,83,8,959.18
CUST575,161,2,1200.91
CUST576,144,13,606.04
CUST577,315,3,1374.33
CUST578,28,16,808.88
CUST579,223,6,253.77
CUST580,298,19,1049.93
CUST581,268,7,1194.03
CUST582,342,10,488.81
CUST583,314,9,1288.63
CUST584,216,2,1361.09
CUST585,223,15,429.82
CUST586,310,5,1475.61
CUST587,328,4,228.25
CUST588,258,4,318.98
CUST589,186,18,292.65
CUST590,325,4,1343.1
CUST591,181,17,988.35
CUST592,144,12,245.11
CUST593,245,17,671.68
CUST594,234,10,930.64
CUST595,204,1,143.53
CUST596,152,18,1325.98
CUST597,146,18,1209.33
CUST598,132,14,767.71
CUST599,36,15,1451.35
CUST600,221,12,638.29
CUST601,128,4,1476.48
CUST602,291,3,1008.52
CUST603,358,12,959.31
CUST604,293,7,265.61
CUST605,114,11,1325.25
CUST606,137,1,652.68
CUST607,360,6,260.11
CUST608,193,15,38.66
CUST609,226,15,848.44
CUST610,199,19,800.55
CUST611,197,11,1084.64
CUST612,84,2,1337.58
CUST613,245,14,137.52
CUST614,173,2,1102.61
CUST615,362,4,297.37
CUST616,338,17,1290.1
CUST617,202,3,1232.21
CUST618,28,13,820.37
CUST619,231,9,1071.16
CUST620,2,7,485.24
CUST621,46,15,717.33
CUST622,25,11,1236.02
CUST623,222,2,699.71
CUST624,40,15,549.54
CUST625,150,14,751.43
CUST626,66,11,1245.81
CUST627,235,3,516.11
CUST628,75,17,277.17
CUST629,297,12,1073.78
CUST630,115,15,1242.45
CUST631,92,16,168.94
CUST632,3,5,375.01
CUST633,185,6,230.12
CUST634,200,19,534.95
CUST635,276,5,686.52
CUST636,165,3,1128.26
CUST637,21,1,983.7
CUST638,348,6,938.97
CUST639,328,15,541.51
CUST640,241,2,1265.34
CUST641,194,3,717.51
